concept,feature_index,method,alpha_hat,beta,target_log_probability,control_log_probability,target_delta,control_delta,specificity,probability_multiplier,ordinary_target_delta,ordinary_specificity,target_retention,specificity_change,perplexity,ordinary_perplexity,ppl_ratio_to_ordinary,ppl_reduction_percent,ppl_ratio_baseline,ppl_win
ocean,24664,full_denoising,0.05,1.0,-3.9918212890625,-8.077036666870118,0.15998300909996033,-0.17677147388458359,0.3367544829845439,1.1734909321552955,0.1602409929037094,0.34698856770992315,0.998390026178232,-0.010234084725379233,54.444780954844184,54.47076012826846,0.9995230620361621,0.04769379638378535,1.0068531624789137,True
ocean,24664,full_denoising,0.1,1.0,-3.87005078792572,-8.233642327785493,0.2817535102367401,-0.33337713479995834,0.6151306450366985,1.325451969375962,0.2972285896539688,0.6646415501832958,0.9479354276274544,-0.049510905146597395,55.539057161587046,55.740635283363524,0.9963836414717605,0.3616358528239494,1.0270897295118175,True
ocean,24664,full_denoising,0.2,1.0,-3.706549271941185,-8.504058885574342,0.44525502622127533,-0.6037936925888072,1.0490487188100825,1.5608882125008334,0.5257801413536072,1.2161602616310123,0.8468464120287578,-0.16711154282092977,60.17001531681325,61.645841156322696,0.9760596041545281,2.394039584547192,1.1127305344176945,True
ocean,24664,full_denoising,0.3,1.0,-3.608413800597191,-8.731207764148712,0.5433904975652695,-0.8309425711631775,1.374333068728447,1.72183485358545,0.7220493704080582,1.6632148772478104,0.7525669571018092,-0.2888818085193634,68.82757122539705,74.05292955461218,0.9294375204243398,7.05624795756602,1.2728356426212757,True
ocean,24664,full_denoising,0.5,1.0,-3.3768729865550995,-9.082546710968018,0.7749313116073608,-1.1822815179824833,1.957212829589844,2.170443037819564,1.0699680894613266,2.262774476408959,0.7242564701135139,-0.3055616468191147,108.61359596507394,135.08793563600594,0.804021435768572,19.5978564231428,2.0086028572020846,True
ocean,24664,prd,0.05,1.0,-3.9894702583551407,-8.077345097064972,0.16233403980731964,-0.17707990407943797,0.3394139438867576,1.176253091059518,0.1602409929037094,0.34698856770992315,1.0130618692862692,-0.007574623823165538,54.47411473265188,54.47076012826846,1.0000615854152854,-0.006158541528544781,1.0073956351720745,False
ocean,24664,prd,0.1,1.0,-3.856275588274002,-8.24591920375824,0.29552870988845825,-0.3456540107727051,0.6411827206611633,1.3438366706314915,0.2972285896539688,0.6646415501832958,0.9942809008800616,-0.023458829522132518,55.769189991181115,55.740635283363524,1.0005122781194085,-0.051227811940846024,1.0313456005650814,False
ocean,24664,prd,0.2,1.0,-3.6291259229183197,-8.568439316749572,0.5226783752441406,-0.6681741237640377,1.1908524990081784,1.686538789481564,0.5257801413536072,1.2161602616310123,0.9941006404283715,-0.025307762622833962,62.904909445922286,61.645841156322696,1.020424221098822,-2.0424221098821915,1.1633072243160758,False
ocean,24664,prd,0.3,1.0,-3.4270839989185333,-8.854735612869263,0.724720299243927,-0.9544704198837284,1.6791907191276554,2.0641536738737605,0.7220493704080582,1.6632148772478104,1.0036990944737745,0.01597584187984502,81.86291122216365,74.05292955461218,1.105464857562344,-10.546485756234404,1.513899580606769,False
ocean,24664,prd,0.5,1.0,-3.0131278336048126,-9.13445712327957,1.1386764645576477,-1.2341919302940365,2.372868394851684,3.1226327138790646,1.0699680894613266,2.262774476408959,1.0642153497595543,0.11009391844272542,209.71488156543543,135.08793563600594,1.5524323514019165,-55.24323514019165,3.878279754641246,False
